,class,sms,length,sw_count,sc_count,hyperlink,digit_count,phone,smileys,weeb,upper_case,tokens,clean_tokens,Lemmatisation
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,32,8,False,0,False,0,False,3,"['jurong', 'point', 'crazy  ', 'available', 'bugis', 'great', 'world', 'buffet', '   ', 'cine', 'got', 'amore', 'wat', '   ']","['jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'buffet', 'cine', 'got', 'amore', 'wat']","['jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'buffet', 'cine', 'get', 'amore', 'wat']"
1,0,Ok lar... Joking wif u oni...,29,6,6,False,0,False,0,False,2,"['lar', '   ', 'joking', 'wif', 'oni', '   ']","['lar', 'joking', 'wif', 'oni']","['lar', 'joke', 'wif', 'oni']"
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,43,1,False,25,True,0,False,10,"['free', 'entry', 'wkly', 'comp', 'win', 'cup', 'final', 'tkts', '  st', 'may', '    ', 'text', '     ', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'apply', '           over  ']","['free', 'entry', 'wkly', 'comp', 'win', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'apply', 'over']","['free', 'entry', 'wkly', 'comp', 'win', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'apply', 'over']"
3,0,U dun say so early hor... U c already then say...,49,17,6,False,0,False,0,False,2,"['dun', 'say', 'early', 'hor', '   ', 'already', 'say', '   ']","['dun', 'say', 'early', 'hor', 'already', 'say']","['dun', 'say', 'early', 'hor', 'already', 'say']"
4,0,"Nah I don't think he goes to usf, he lives around here though",61,18,0,False,0,False,0,False,2,"['nah', 'n t', 'think', 'goes', 'usf', 'lives', 'around', 'though']","['nah', 'n t', 'think', 'goes', 'usf', 'lives', 'around', 'though']","['nah', 'n t', 'think', 'go', 'usf', 'live', 'around', 'though']"
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,41,3,False,4,False,0,False,7,"['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'like', 'fun', 'still', 'xxx', 'std', 'chgs', 'send', '     ', 'rcv']","['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'like', 'fun', 'still', 'xxx', 'std', 'chgs', 'send', 'rcv']","['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'like', 'fun', 'still', 'xxx', 'std', 'chgs', 'send', 'rcv']"
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,77,29,2,False,0,False,0,False,2,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']","['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']","['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']"
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,42,1,False,1,False,0,False,10,"['per', 'request', ' melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']","['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']","['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']"
8,1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,40,4,False,19,True,0,False,12,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', '    ', 'prize', 'reward', 'claim', 'call', '           ', 'claim', 'code', 'kl   ', 'valid', 'hours']","['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']","['winner', 'value', 'network', 'customer', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']"
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,50,1,False,13,True,0,False,14,"['mobile', 'months', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'free', '           ']","['mobile', 'months', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'free']","['mobile', 'month', 'entitle', 'update', 'late', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'free']"
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,44,2,False,0,False,0,False,2,"['gon', 'home', 'soon', 'n t', 'want', 'talk', 'stuff', 'anymore', 'tonight', ' ve', 'cried', 'enough', 'today']","['gon', 'home', 'soon', 'n t', 'want', 'talk', 'stuff', 'anymore', 'tonight', 've', 'cried', 'enough', 'today']","['gon', 'home', 'soon', 'n t', 'want', 'talk', 'stuff', 'anymore', 'tonight', 've', 'cry', 'enough', 'today']"
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,39,1,False,22,True,0,False,17,"['six', 'chances', 'win', 'cash', '   ', '      ', 'pounds', 'txt', 'csh  ', 'send', '     ', 'cost', '   p day', ' days', '   ', 'tsandcs', 'apply', 'reply', 'info']","['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'p day', 'days', 'tsandcs', 'apply', 'reply', 'info']","['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'p day', 'day', 'tsandcs', 'apply', 'reply', 'info']"
12,1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,23,3,True,20,True,0,False,40,"['urgent', 'week', 'free', 'membership', '        ', 'prize', 'jackpot', 'txt', 'word', 'claim', '     ', 'www dbuk net', 'lccltd', 'pobox', '    ldnw a rw  ']","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'www dbuk net', 'lccltd', 'pobox', 'ldnw a rw']","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'www dbuk net', 'lccltd', 'pobox', 'ldnw a rw']"
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,64,3,False,0,False,0,False,3,"[' ve', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['ve', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['ve', 'search', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'grant', 'fulfil', 'promise', 'wonderful', 'bless', 'time']"
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,0,0,False,0,False,0,False,26,"['date', 'sunday']","['date', 'sunday']","['date', 'sunday']"
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,36,3,True,0,False,0,False,23,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'http', '  wap', 'xxxmobilemovieclub com', 'n qjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'http', 'wap', 'xxxmobilemovieclub com', 'n qjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'http', 'wap', 'xxxmobilemovieclub com', 'n qjkgighjjgcbl']"
16,0,Oh k...i'm watching here:),26,5,3,False,0,False,2,True,1,"['   ', 'watching']",['watching'],['watch']
